ter;per;vd
Canarias;2010;678694.5
Canarias;2011;678124.5
Canarias;2012;659118.5
Canarias;2013;652142.25
Canarias;2014;670479.25
Canarias;2015;695326.75
Canarias;2016;727476.0
Canarias;2017;764057.75
Canarias;2018;797812.25
Canarias;2019;813334.5
Canarias;2020;767599.3333333334
Canarias;2021;785896.75
Canarias;2022;848407.4166666666
Canarias;2023;884316.5833333334
