TIME_PERIOD;MEDIDAS;TERRITORIO;ACTIVIDAD_ECONOMICA;OBSERVACIONES
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;Suministro de energía eléctrica, gas, vapor y aire acondicionado;0
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;"Actividades de seguridad e investigación; servicios a edificios y actividades de jardinería; actividades administrativas de oficina y otras actividades auxiliares a las empresas";6
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;Actividades de alquiler;4
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;Otros servicios personales;9
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;Pesca y acuicultura;10
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;Transporte marítimo y por vías navegables interiores;5
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;"Industria de la madera y del corcho, excepto muebles; cestería y espartería";1
03/2012;Empresa inscrita en la Seguridad Social;El Hierro;"Actividades de creación, artísticas y espectáculos; actividades de bibliotecas, archivos, museos y otras actividades culturales; actividades de juegos de azar y apuestas ";1
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;"Otras actividades profesionales, científicas y técnicas; actividades veterinarias";3
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Fabricación de vehículos de motor, remolques y semirremolques;0
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Almacenamiento y actividades anexas al transporte;3
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Servicios;528
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Agricultura, ganadería, silvicultura y pesca;25
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;"Administración pública y defensa; seguridad social obligatoria";0
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;"Actividades de los hogares como empleadores de personal doméstico; actividades de los hogares como productores de bienes y servicios para uso propio";25
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Captación, depuración y distribución de agua;2
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Servicios financieros, excepto seguros y fondos de pensiones;0
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Industria;29
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Actividades auxiliares a los servicios financieros y a los seguros;1
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Silvicultura y explotación forestal;0
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Industria del papel;0
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;"Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical; actividades de programación y emisión de radio y televisión";1
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Fabricación de otros productos minerales no metálicos;0
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Actividades relacionadas con el empleo;0
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Actividades sanitarias;6
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Industria de la alimentación, bebidas y tabaco;18
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Fabricación de maquinaria y equipo n.c.o.p.;0
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Comercio al por menor, excepto de vehículos de motor y motocicletas;138
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;"Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones";0
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos;6
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Reparación de ordenadores, efectos personales y artículos de uso doméstico;0
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Transporte aéreo;0
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Telecomunicaciones;0
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;"Recogida y tratamiento de aguas residuales; recogida, tratamiento y eliminación de residuos; valorización; actividades de descontaminación y otros servicios de gestión de residuos";0
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Fabricación de otro material de transporte;0
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Edición;1
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Industria textil, confección de prendas de vestir, industria del cuero y del calzado;0
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Investigación y desarrollo;0
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;19
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Coquerías y refino de petróleo;0
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Agricultura, ganadería, caza y servicios relacionados con las mismas;15
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Actividades postales y de correos;0
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Actividades inmobiliarias;13
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Transporte terrestre y por tubería;19
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Industrias extractivas;1
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Fabricación de productos farmacéuticos;0
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Construcción;57
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;1
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Industria química;0
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Construcción;57
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Fabricación de productos metálicos, excepto maquinaria y equipo;2
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;"Actividades jurídicas y de contabilidad; actividades de las sedes centrales; actividades de consultoría de gestión empresarial";10
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Hostelería;184
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Artes gráficas y reproducción de soportes grabados;1
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Actividades de servicios sociales;3
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;"Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos";5
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Fabricación de productos informáticos, electrónicos y ópticos;0
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Total;639
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Educación;3
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Venta y reparación de vehículos de motor y motocicletas;18
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Actividades deportivas, recreativas y de entretenimiento;8
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Fabricación de productos de caucho y plásticos;0
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;"Fabricación de muebles; otras industrias manufactureras";0
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Publicidad y estudios de mercado;1
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Actividades asociativas;12
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Fabricación de material y equipo eléctrico;0
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;"Programación, consultoría y otras actividades relacionadas con la informática; servicios de información";3
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Actividades de organizaciones y organismos extraterritoriales;0
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Reparación e instalación de maquinaria y equipo;0
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Suministro de energía eléctrica, gas, vapor y aire acondicionado;1
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;"Actividades de seguridad e investigación; servicios a edificios y actividades de jardinería; actividades administrativas de oficina y otras actividades auxiliares a las empresas";11
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Actividades de alquiler;11
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Otros servicios personales;16
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Pesca y acuicultura;10
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;Transporte marítimo y por vías navegables interiores;3
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;"Industria de la madera y del corcho, excepto muebles; cestería y espartería";4
03/2012;Empresa inscrita en la Seguridad Social;La Gomera;"Actividades de creación, artísticas y espectáculos; actividades de bibliotecas, archivos, museos y otras actividades culturales; actividades de juegos de azar y apuestas ";4
03/2012;Empresa inscrita en la Seguridad Social;La Palma;"Otras actividades profesionales, científicas y técnicas; actividades veterinarias";17
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Fabricación de vehículos de motor, remolques y semirremolques;0
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Almacenamiento y actividades anexas al transporte;20
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Servicios;1904
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Agricultura, ganadería, silvicultura y pesca;259
03/2012;Empresa inscrita en la Seguridad Social;La Palma;"Administración pública y defensa; seguridad social obligatoria";0
03/2012;Empresa inscrita en la Seguridad Social;La Palma;"Actividades de los hogares como empleadores de personal doméstico; actividades de los hogares como productores de bienes y servicios para uso propio";155
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Captación, depuración y distribución de agua;25
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Servicios financieros, excepto seguros y fondos de pensiones;0
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Industria;155
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Actividades auxiliares a los servicios financieros y a los seguros;14
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Silvicultura y explotación forestal;2
03/2012;Empresa inscrita en la Seguridad Social;La Palma;Industria del papel;1
