TIME_PERIOD;MEDIDAS;TERRITORIO;ACTIVIDAD_ECONOMICA;OBSERVACIONES
12/2017;Empresa inscrita en la Seguridad Social;No aplicable;"Programación, consultoría y otras actividades relacionadas con la informática; servicios de información";
12/2017;Empresa inscrita en la Seguridad Social;No aplicable;Actividades de organizaciones y organismos extraterritoriales;
12/2017;Empresa inscrita en la Seguridad Social;No aplicable;Reparación e instalación de maquinaria y equipo;
12/2017;Empresa inscrita en la Seguridad Social;No aplicable;Suministro de energía eléctrica, gas, vapor y aire acondicionado;
12/2017;Empresa inscrita en la Seguridad Social;No aplicable;"Actividades de seguridad e investigación; servicios a edificios y actividades de jardinería; actividades administrativas de oficina y otras actividades auxiliares a las empresas";
12/2017;Empresa inscrita en la Seguridad Social;No aplicable;Actividades de alquiler;
12/2017;Empresa inscrita en la Seguridad Social;No aplicable;Otros servicios personales;
12/2017;Empresa inscrita en la Seguridad Social;No aplicable;Pesca y acuicultura;
12/2017;Empresa inscrita en la Seguridad Social;No aplicable;Transporte marítimo y por vías navegables interiores;
12/2017;Empresa inscrita en la Seguridad Social;No aplicable;"Industria de la madera y del corcho, excepto muebles; cestería y espartería";
12/2017;Empresa inscrita en la Seguridad Social;No aplicable;"Actividades de creación, artísticas y espectáculos; actividades de bibliotecas, archivos, museos y otras actividades culturales; actividades de juegos de azar y apuestas ";
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;"Otras actividades profesionales, científicas y técnicas; actividades veterinarias";0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Fabricación de vehículos de motor, remolques y semirremolques;0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Almacenamiento y actividades anexas al transporte;1
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Servicios;6
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Agricultura, ganadería, silvicultura y pesca;1
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;"Administración pública y defensa; seguridad social obligatoria";0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;"Actividades de los hogares como empleadores de personal doméstico; actividades de los hogares como productores de bienes y servicios para uso propio";0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Captación, depuración y distribución de agua;0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Servicios financieros, excepto seguros y fondos de pensiones;0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Industria;0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Actividades auxiliares a los servicios financieros y a los seguros;0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Silvicultura y explotación forestal;0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Industria del papel;0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;"Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical; actividades de programación y emisión de radio y televisión";0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Fabricación de otros productos minerales no metálicos;0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Actividades relacionadas con el empleo;0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Actividades sanitarias;0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Industria de la alimentación, bebidas y tabaco;0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Fabricación de maquinaria y equipo n.c.o.p.;0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Comercio al por menor, excepto de vehículos de motor y motocicletas;0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;"Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones";0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos;0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Reparación de ordenadores, efectos personales y artículos de uso doméstico;0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Transporte aéreo;0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Telecomunicaciones;0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;"Recogida y tratamiento de aguas residuales; recogida, tratamiento y eliminación de residuos; valorización; actividades de descontaminación y otros servicios de gestión de residuos";0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Fabricación de otro material de transporte;0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Edición;0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Industria textil, confección de prendas de vestir, industria del cuero y del calzado;0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Investigación y desarrollo;0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Coquerías y refino de petróleo;0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Agricultura, ganadería, caza y servicios relacionados con las mismas;0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Actividades postales y de correos;0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Actividades inmobiliarias;0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Transporte terrestre y por tubería;0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Industrias extractivas;0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Fabricación de productos farmacéuticos;0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Construcción;0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Industria química;0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Construcción;0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Fabricación de productos metálicos, excepto maquinaria y equipo;0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;"Actividades jurídicas y de contabilidad; actividades de las sedes centrales; actividades de consultoría de gestión empresarial";0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Hostelería;0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Artes gráficas y reproducción de soportes grabados;0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Actividades de servicios sociales;0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;"Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos";0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Fabricación de productos informáticos, electrónicos y ópticos;0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Total;7
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Educación;0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Venta y reparación de vehículos de motor y motocicletas;0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Actividades deportivas, recreativas y de entretenimiento;0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Fabricación de productos de caucho y plásticos;0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;"Fabricación de muebles; otras industrias manufactureras";0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Publicidad y estudios de mercado;0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Actividades asociativas;0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Fabricación de material y equipo eléctrico;0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;"Programación, consultoría y otras actividades relacionadas con la informática; servicios de información";0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Actividades de organizaciones y organismos extraterritoriales;0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Reparación e instalación de maquinaria y equipo;0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Suministro de energía eléctrica, gas, vapor y aire acondicionado;0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;"Actividades de seguridad e investigación; servicios a edificios y actividades de jardinería; actividades administrativas de oficina y otras actividades auxiliares a las empresas";0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Actividades de alquiler;0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Otros servicios personales;0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Pesca y acuicultura;1
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;Transporte marítimo y por vías navegables interiores;5
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;"Industria de la madera y del corcho, excepto muebles; cestería y espartería";0
12/2017;Empresa inscrita en la Seguridad Social;Resto de Canarias;"Actividades de creación, artísticas y espectáculos; actividades de bibliotecas, archivos, museos y otras actividades culturales; actividades de juegos de azar y apuestas ";0
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;"Otras actividades profesionales, científicas y técnicas; actividades veterinarias";210
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Fabricación de vehículos de motor, remolques y semirremolques;4
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Almacenamiento y actividades anexas al transporte;323
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Servicios;20131
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Agricultura, ganadería, silvicultura y pesca;800
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;"Administración pública y defensa; seguridad social obligatoria";0
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;"Actividades de los hogares como empleadores de personal doméstico; actividades de los hogares como productores de bienes y servicios para uso propio";583
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Captación, depuración y distribución de agua;89
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Servicios financieros, excepto seguros y fondos de pensiones;54
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Industria;1260
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Actividades auxiliares a los servicios financieros y a los seguros;203
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Silvicultura y explotación forestal;4
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Industria del papel;13
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;"Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical; actividades de programación y emisión de radio y televisión";58
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Fabricación de otros productos minerales no metálicos;55
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Actividades relacionadas con el empleo;34
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Actividades sanitarias;748
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Industria de la alimentación, bebidas y tabaco;267
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Fabricación de maquinaria y equipo n.c.o.p.;25
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Comercio al por menor, excepto de vehículos de motor y motocicletas;3688
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;"Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones";9
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos;128
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Reparación de ordenadores, efectos personales y artículos de uso doméstico;114
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Transporte aéreo;18
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Telecomunicaciones;51
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;"Recogida y tratamiento de aguas residuales; recogida, tratamiento y eliminación de residuos; valorización; actividades de descontaminación y otros servicios de gestión de residuos";37
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Fabricación de otro material de transporte;31
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Edición;35
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Industria textil, confección de prendas de vestir, industria del cuero y del calzado;33
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Investigación y desarrollo;26
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;1663
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Coquerías y refino de petróleo;1
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Agricultura, ganadería, caza y servicios relacionados con las mismas;713
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Actividades postales y de correos;36
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Actividades inmobiliarias;651
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Transporte terrestre y por tubería;1727
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Industrias extractivas;10
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Fabricación de productos farmacéuticos;27
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Construcción;1928
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;56
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Industria química;33
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Construcción;1928
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Fabricación de productos metálicos, excepto maquinaria y equipo;171
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;"Actividades jurídicas y de contabilidad; actividades de las sedes centrales; actividades de consultoría de gestión empresarial";983
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Hostelería;3634
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Artes gráficas y reproducción de soportes grabados;105
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Actividades de servicios sociales;141
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;"Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos";258
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Fabricación de productos informáticos, electrónicos y ópticos;7
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Total;24119
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Educación;570
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Venta y reparación de vehículos de motor y motocicletas;776
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Actividades deportivas, recreativas y de entretenimiento;386
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Fabricación de productos de caucho y plásticos;21
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;"Fabricación de muebles; otras industrias manufactureras";84
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Publicidad y estudios de mercado;135
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Actividades asociativas;365
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Fabricación de material y equipo eléctrico;10
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;"Programación, consultoría y otras actividades relacionadas con la informática; servicios de información";184
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Actividades de organizaciones y organismos extraterritoriales;15
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Reparación e instalación de maquinaria y equipo;160
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Suministro de energía eléctrica, gas, vapor y aire acondicionado;18
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;"Actividades de seguridad e investigación; servicios a edificios y actividades de jardinería; actividades administrativas de oficina y otras actividades auxiliares a las empresas";681
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Actividades de alquiler;234
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Otros servicios personales;1120
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Pesca y acuicultura;83
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;Transporte marítimo y por vías navegables interiores;53
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;"Industria de la madera y del corcho, excepto muebles; cestería y espartería";50
12/2017;Empresa inscrita en la Seguridad Social;Gran Canaria;"Actividades de creación, artísticas y espectáculos; actividades de bibliotecas, archivos, museos y otras actividades culturales; actividades de juegos de azar y apuestas ";190
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;"Otras actividades profesionales, científicas y técnicas; actividades veterinarias";26
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Fabricación de vehículos de motor, remolques y semirremolques;1
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Almacenamiento y actividades anexas al transporte;23
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Servicios;2914
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Agricultura, ganadería, silvicultura y pesca;101
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;"Administración pública y defensa; seguridad social obligatoria";0
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;"Actividades de los hogares como empleadores de personal doméstico; actividades de los hogares como productores de bienes y servicios para uso propio";27
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Captación, depuración y distribución de agua;9
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Servicios financieros, excepto seguros y fondos de pensiones;2
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Industria;119
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Actividades auxiliares a los servicios financieros y a los seguros;18
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Silvicultura y explotación forestal;0
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Industria del papel;0
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;"Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical; actividades de programación y emisión de radio y televisión";6
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Fabricación de otros productos minerales no metálicos;9
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Actividades relacionadas con el empleo;2
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Actividades sanitarias;58
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Industria de la alimentación, bebidas y tabaco;29
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Fabricación de maquinaria y equipo n.c.o.p.;1
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Comercio al por menor, excepto de vehículos de motor y motocicletas;609
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;"Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones";0
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos;19
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Reparación de ordenadores, efectos personales y artículos de uso doméstico;11
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Transporte aéreo;0
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Telecomunicaciones;11
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;"Recogida y tratamiento de aguas residuales; recogida, tratamiento y eliminación de residuos; valorización; actividades de descontaminación y otros servicios de gestión de residuos";5
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Fabricación de otro material de transporte;0
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Edición;4
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Industria textil, confección de prendas de vestir, industria del cuero y del calzado;1
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Investigación y desarrollo;8
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;90
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Coquerías y refino de petróleo;0
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Agricultura, ganadería, caza y servicios relacionados con las mismas;76
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Actividades postales y de correos;5
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Actividades inmobiliarias;95
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Transporte terrestre y por tubería;273
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Industrias extractivas;3
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Fabricación de productos farmacéuticos;1
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Construcción;296
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;1
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Industria química;0
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Construcción;296
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Fabricación de productos metálicos, excepto maquinaria y equipo;25
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;"Actividades jurídicas y de contabilidad; actividades de las sedes centrales; actividades de consultoría de gestión empresarial";127
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Hostelería;798
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Artes gráficas y reproducción de soportes grabados;14
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Actividades de servicios sociales;9
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;"Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos";22
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Fabricación de productos informáticos, electrónicos y ópticos;1
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Total;3430
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Educación;89
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Venta y reparación de vehículos de motor y motocicletas;85
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Actividades deportivas, recreativas y de entretenimiento;78
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Fabricación de productos de caucho y plásticos;0
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;"Fabricación de muebles; otras industrias manufactureras";3
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Publicidad y estudios de mercado;7
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Actividades asociativas;43
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Fabricación de material y equipo eléctrico;0
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;"Programación, consultoría y otras actividades relacionadas con la informática; servicios de información";10
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Actividades de organizaciones y organismos extraterritoriales;0
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Reparación e instalación de maquinaria y equipo;10
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Suministro de energía eléctrica, gas, vapor y aire acondicionado;4
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;"Actividades de seguridad e investigación; servicios a edificios y actividades de jardinería; actividades administrativas de oficina y otras actividades auxiliares a las empresas";109
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Actividades de alquiler;64
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Otros servicios personales;135
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Pesca y acuicultura;25
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;Transporte marítimo y por vías navegables interiores;24
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;"Industria de la madera y del corcho, excepto muebles; cestería y espartería";3
12/2017;Empresa inscrita en la Seguridad Social;Fuerteventura;"Actividades de creación, artísticas y espectáculos; actividades de bibliotecas, archivos, museos y otras actividades culturales; actividades de juegos de azar y apuestas ";26
12/2017;Empresa inscrita en la Seguridad Social;Tenerife;"Otras actividades profesionales, científicas y técnicas; actividades veterinarias";247
12/2017;Empresa inscrita en la Seguridad Social;Tenerife;Fabricación de vehículos de motor, remolques y semirremolques;5
12/2017;Empresa inscrita en la Seguridad Social;Tenerife;Almacenamiento y actividades anexas al transporte;251
12/2017;Empresa inscrita en la Seguridad Social;Tenerife;Servicios;23069
12/2017;Empresa inscrita en la Seguridad Social;Tenerife;Agricultura, ganadería, silvicultura y pesca;1016
12/2017;Empresa inscrita en la Seguridad Social;Tenerife;"Administración pública y defensa; seguridad social obligatoria";0
12/2017;Empresa inscrita en la Seguridad Social;Tenerife;"Actividades de los hogares como empleadores de personal doméstico; actividades de los hogares como productores de bienes y servicios para uso propio";520
12/2017;Empresa inscrita en la Seguridad Social;Tenerife;Captación, depuración y distribución de agua;116
12/2017;Empresa inscrita en la Seguridad Social;Tenerife;Servicios financieros, excepto seguros y fondos de pensiones;36
12/2017;Empresa inscrita en la Seguridad Social;Tenerife;Industria;1330
12/2017;Empresa inscrita en la Seguridad Social;Tenerife;Actividades auxiliares a los servicios financieros y a los seguros;229
12/2017;Empresa inscrita en la Seguridad Social;Tenerife;Silvicultura y explotación forestal;7
12/2017;Empresa inscrita en la Seguridad Social;Tenerife;Industria del papel;9
12/2017;Empresa inscrita en la Seguridad Social;Tenerife;"Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical; actividades de programación y emisión de radio y televisión";93
12/2017;Empresa inscrita en la Seguridad Social;Tenerife;Fabricación de otros productos minerales no metálicos;66
12/2017;Empresa inscrita en la Seguridad Social;Tenerife;Actividades relacionadas con el empleo;41
12/2017;Empresa inscrita en la Seguridad Social;Tenerife;Actividades sanitarias;775
12/2017;Empresa inscrita en la Seguridad Social;Tenerife;Industria de la alimentación, bebidas y tabaco;298
12/2017;Empresa inscrita en la Seguridad Social;Tenerife;Fabricación de maquinaria y equipo n.c.o.p.;24
12/2017;Empresa inscrita en la Seguridad Social;Tenerife;Comercio al por menor, excepto de vehículos de motor y motocicletas;4768
12/2017;Empresa inscrita en la Seguridad Social;Tenerife;"Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones";9
12/2017;Empresa inscrita en la Seguridad Social;Tenerife;Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos;200
12/2017;Empresa inscrita en la Seguridad Social;Tenerife;Reparación de ordenadores, efectos personales y artículos de uso doméstico;123
12/2017;Empresa inscrita en la Seguridad Social;Tenerife;Transporte aéreo;15
12/2017;Empresa inscrita en la Seguridad Social;Tenerife;Telecomunicaciones;59
12/2017;Empresa inscrita en la Seguridad Social;Tenerife;"Recogida y tratamiento de aguas residuales; recogida, tratamiento y eliminación de residuos; valorización; actividades de descontaminación y otros servicios de gestión de residuos";45
12/2017;Empresa inscrita en la Seguridad Social;Tenerife;Fabricación de otro material de transporte;10
12/2017;Empresa inscrita en la Seguridad Social;Tenerife;Edición;35
12/2017;Empresa inscrita en la Seguridad Social;Tenerife;Industria textil, confección de prendas de vestir, industria del cuero y del calzado;63
12/2017;Empresa inscrita en la Seguridad Social;Tenerife;Investigación y desarrollo;33
12/2017;Empresa inscrita en la Seguridad Social;Tenerife;Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;1587
12/2017;Empresa inscrita en la Seguridad Social;Tenerife;Coquerías y refino de petróleo;1
12/2017;Empresa inscrita en la Seguridad Social;Tenerife;Agricultura, ganadería, caza y servicios relacionados con las mismas;922
12/2017;Empresa inscrita en la Seguridad Social;Tenerife;Actividades postales y de correos;26
12/2017;Empresa inscrita en la Seguridad Social;Tenerife;Actividades inmobiliarias;827
12/2017;Empresa inscrita en la Seguridad Social;Tenerife;Transporte terrestre y por tubería;1402
12/2017;Empresa inscrita en la Seguridad Social;Tenerife;Industrias extractivas;14
