TIME_PERIOD;SEXO;EDAD;MEDIDAS;TERRITORIO;OBSERVACIONES
1999;Total;De 15 a 24 años;Defunciones;La Gomera;1
1999;Total;De 15 a 24 años;Defunciones;Gran Canaria;75
1999;Total;De 15 a 24 años;Defunciones;Fuerteventura;11
1999;Total;De 15 a 24 años;Defunciones;El Hierro;0
1999;Total;De 15 a 24 años;Defunciones;Canarias;159
1999;Total;Total;Defunciones;Tenerife;4965
1999;Total;Total;Defunciones;Lanzarote;526
1999;Total;Total;Defunciones;La Palma;737
1999;Total;Total;Defunciones;La Gomera;122
1999;Total;Total;Defunciones;Gran Canaria;5330
1999;Total;Total;Defunciones;Fuerteventura;244
1999;Total;Total;Defunciones;El Hierro;75
1999;Total;Total;Defunciones;Canarias;11999
1999;Total;Menos de 7 días;Defunciones;Tenerife;16
1999;Total;Menos de 7 días;Defunciones;Lanzarote;3
1999;Total;Menos de 7 días;Defunciones;La Palma;1
1999;Total;Menos de 7 días;Defunciones;La Gomera;2
1999;Total;Menos de 7 días;Defunciones;Gran Canaria;12
1999;Total;Menos de 7 días;Defunciones;Fuerteventura;1
1999;Total;Menos de 7 días;Defunciones;El Hierro;0
1999;Total;Menos de 7 días;Defunciones;Canarias;35
1999;Total;De 7 a 27 días;Defunciones;Tenerife;5
1999;Total;De 7 a 27 días;Defunciones;Lanzarote;0
1999;Total;De 7 a 27 días;Defunciones;La Palma;0
1999;Total;De 7 a 27 días;Defunciones;La Gomera;0
1999;Total;De 7 a 27 días;Defunciones;Gran Canaria;8
1999;Total;De 7 a 27 días;Defunciones;Fuerteventura;0
1999;Total;De 7 a 27 días;Defunciones;El Hierro;0
1999;Total;De 7 a 27 días;Defunciones;Canarias;13
1999;Total;De 28 días a menos de 1 año;Defunciones;Tenerife;19
1999;Total;De 28 días a menos de 1 año;Defunciones;Lanzarote;1
1999;Total;De 28 días a menos de 1 año;Defunciones;La Palma;1
1999;Total;De 28 días a menos de 1 año;Defunciones;La Gomera;1
1999;Total;De 28 días a menos de 1 año;Defunciones;Gran Canaria;21
1999;Total;De 28 días a menos de 1 año;Defunciones;Fuerteventura;1
1999;Total;De 28 días a menos de 1 año;Defunciones;El Hierro;0
1999;Total;De 28 días a menos de 1 año;Defunciones;Canarias;44
1999;Hombres;Menor de 1 año;Defunciones;Tenerife;19
